timestamp,smoke,flame,co,voc,temp,humid
1161500,70,1,439,408,19.10,50.26
1161600,69,1,440,409,19.11,50.22
1161700,70,0,441,408,19.10,50.25
1161800,69,1,441,408,19.11,50.23
1161900,69,1,441,408,19.12,50.24
1162000,68,0,442,407,19.12,50.27
1162100,70,1,441,408,19.11,50.23
1162200,70,1,441,409,19.11,50.25
1162300,71,2,442,408,19.11,50.25
1162400,70,2,443,408,19.11,50.23
1162500,70,1,445,408,19.11,50.23
1162600,70,2,446,408,19.10,50.26
1162700,70,0,447,408,19.10,50.25
1162800,73,1,447,408,19.11,50.23
1162900,67,0,446,410,19.10,50.25
1163000,69,0,446,408,19.11,50.27
1163100,70,2,446,408,19.10,50.24
1163200,68,0,446,408,19.10,50.25
1163300,71,3,446,409,19.09,50.21
1163400,70,0,448,409,19.10,50.22
1163500,70,0,446,408,19.11,50.24
1163600,70,1,447,409,19.09,50.22
1163700,69,1,448,409,19.10,50.24
1163800,69,1,448,408,19.11,50.25
1163900,68,0,450,409,19.11,50.22
1164000,69,2,451,409,19.10,50.24
1164100,69,2,449,408,19.10,50.23
1164200,71,1,449,409,19.12,50.25
1164300,69,1,448,409,19.11,50.24
1164400,70,0,448,408,19.09,50.23
1164500,70,0,447,408,19.11,50.24
1164600,68,0,446,408,19.11,50.21
1164700,69,0,446,409,19.10,50.22
1164800,70,0,446,410,19.11,50.21
1164900,69,0,446,408,19.10,50.24
1165000,68,0,445,408,19.10,50.25
1165100,71,1,445,408,19.09,50.22
1165200,70,2,443,409,19.11,50.22
1165300,68,0,445,409,19.10,50.22
1165400,70,0,443,408,19.10,50.26
1165500,70,0,444,409,19.11,50.21
1165600,71,0,444,408,19.09,50.24
1165700,69,2,444,408,19.09,50.25
1165800,69,1,442,408,19.10,50.20
1165900,70,1,441,408,19.10,50.22
1166000,68,0,441,409,19.09,50.21
1166100,69,1,443,409,19.10,50.23
1166200,68,0,440,409,19.11,50.19
1166300,71,1,441,408,19.09,50.21
1166400,69,0,441,408,19.10,50.20
1166500,73,1,440,408,19.11,50.19
1166600,71,1,441,409,19.10,50.21
1166700,68,0,438,408,19.11,50.20
1166800,70,4,438,408,19.10,50.20
1166900,70,1,437,409,19.10,50.18
1167000,70,2,437,409,19.10,50.17
1167100,71,2,437,409,19.10,50.19
1167200,69,0,437,409,19.09,50.17
1167300,69,0,437,409,19.11,50.19
1167400,69,1,437,409,19.10,50.17
1167500,70,1,437,408,19.11,50.17
1167600,70,0,437,408,19.10,50.18
1167700,68,0,437,409,19.10,50.14
1167800,70,1,437,409,19.11,50.15
1167900,68,0,437,408,19.10,50.15
1168000,70,1,436,409,19.09,50.16
1168100,70,2,436,408,19.10,50.12
1168200,69,0,434,408,19.09,50.13
1168300,70,1,433,408,19.10,50.15
1168400,69,0,433,408,19.09,50.12
1168500,68,0,434,409,19.10,50.12
1168600,70,0,434,409,19.08,50.16
1168700,68,0,434,409,19.10,50.10
1168800,69,0,435,408,19.10,50.16
1168900,70,0,436,408,19.10,50.11
1169000,68,0,437,409,19.10,50.15
1169100,70,0,436,409,19.10,50.11
1169200,68,0,437,409,19.09,50.11
1169300,69,0,437,408,19.09,50.12
1169400,68,0,437,409,19.10,50.13
1169500,71,1,438,408,19.08,50.14
1169600,71,1,438,409,19.10,50.11
1169700,71,1,438,409,19.09,50.14
1169800,70,0,438,409,19.11,50.13
1169900,68,1,438,409,19.09,50.13
1170000,70,21,438,409,19.10,50.12
1170100,68,0,439,409,19.10,50.19
1170200,70,1,439,409,19.11,50.15
1170300,71,3,440,409,19.09,50.13
1170400,69,2,441,409,19.09,50.13
1170500,70,0,441,408,19.10,50.15
1170600,70,0,441,408,19.10,50.16
1170700,69,0,442,409,19.10,50.14
1170800,71,0,442,409,19.09,50.16
1170900,68,0,441,408,19.09,50.16
1171000,69,2,442,409,19.11,50.15
1171100,70,2,443,408,19.11,50.18
1171200,68,1,445,410,19.09,50.15
1171300,69,1,446,409,19.11,50.17
1171400,70,0,446,409,19.11,50.16
1171500,70,5,447,409,19.10,50.21
1171600,68,0,447,409,19.09,50.21
