timestamp,smoke,flame,co,voc,temp,humid
1332700,69,1,438,405,19.13,49.00
1332800,71,2,438,405,19.15,48.95
1332900,70,0,438,405,19.14,48.99
1333000,70,0,438,405,19.14,49.03
1333100,70,2,438,405,19.14,49.03
1333200,71,1,438,405,19.14,49.07
1333300,68,2,438,405,19.13,49.08
1333400,69,1,438,405,19.15,49.07
1333500,68,7,437,405,19.14,49.09
1333600,70,0,436,405,19.12,49.12
1333700,70,2,434,405,19.14,49.13
1333800,70,2,434,405,19.13,49.12
1333900,69,0,435,405,19.14,49.15
1334000,69,0,434,406,19.15,49.11
1334100,69,1,435,405,19.14,49.07
1334200,68,0,435,405,19.13,49.10
1334300,70,1,435,406,19.15,49.10
1334400,70,0,435,405,19.15,49.09
1334500,68,0,436,405,19.13,49.06
1334600,70,1,435,406,19.14,49.05
1334700,69,1,435,405,19.14,49.05
1334800,69,1,435,406,19.15,49.04
1334900,69,1,435,405,19.14,49.03
1335000,70,1,435,405,19.14,49.00
1335100,69,1,434,405,19.15,49.00
1335200,69,1,434,405,19.13,48.96
1335300,67,0,433,406,19.14,48.93
1335400,70,1,432,405,19.13,48.96
1335500,70,0,432,405,19.16,48.90
1335600,70,5,432,405,19.16,48.85
1335700,70,0,432,405,19.16,48.89
1335800,68,1,433,405,19.14,48.88
1335900,67,0,433,406,19.15,48.89
1336000,69,1,433,405,19.16,48.89
1336100,70,1,434,405,19.13,48.87
1336200,69,1,435,405,19.15,48.86
1336300,68,3,435,405,19.14,48.89
1336400,68,1,435,405,19.16,48.89
1336500,68,0,435,404,19.16,48.94
1336600,68,0,435,404,19.15,48.94
1336700,69,1,436,405,19.17,48.93
1336800,67,1,435,405,19.15,48.96
1336900,67,1,435,404,19.15,48.98
1337000,69,0,434,404,19.14,48.96
1337100,67,1,435,404,19.15,48.96
1337200,68,0,435,405,19.16,48.96
1337300,69,1,435,405,19.14,49.00
1337400,69,2,436,404,19.15,48.98
1337500,67,1,435,404,19.15,49.02
1337600,67,0,436,404,19.15,48.99
1337700,68,0,435,404,19.16,49.01
1337800,70,0,437,404,19.15,49.03
1337900,68,0,437,406,19.15,49.06
1338000,70,0,438,404,19.16,49.07
1338100,69,0,438,404,19.16,49.10
1338200,70,1,438,404,19.17,49.13
1338300,69,0,439,404,19.17,49.11
1338400,68,0,439,403,19.16,49.16
1338500,70,2,439,404,19.15,49.10
1338600,69,1,439,405,19.15,49.12
1338700,70,0,439,405,19.16,49.11
1338800,69,2,439,404,19.16,49.11
1338900,67,2,441,404,19.16,49.10
1339000,69,1,442,403,19.17,49.08
1339100,69,0,442,404,19.15,49.05
1339200,69,0,439,404,19.16,49.06
1339300,70,0,442,404,19.16,49.04
1339400,69,0,441,404,19.17,49.03
1339500,67,0,441,404,19.17,49.02
1339600,69,1,441,405,19.17,48.98
1339700,70,0,442,404,19.17,48.94
1339800,69,1,442,404,19.16,48.93
1339900,69,1,442,403,19.16,48.93
1340000,69,2,441,404,19.16,48.93
1340100,69,0,441,404,19.17,48.93
1340200,69,0,442,404,19.17,48.93
1340300,69,0,442,404,19.16,48.93
1340400,70,1,442,404,19.16,48.93
1340500,70,0,442,404,19.17,48.99
1340600,68,0,444,404,19.18,49.03
1340700,68,0,445,404,19.16,48.99
1340800,69,0,445,404,19.17,49.04
1340900,69,1,444,403,19.17,49.07
1341000,70,0,443,404,19.17,49.06
1341100,68,2,444,404,19.17,49.09
1341200,69,1,443,404,19.17,49.13
1341300,68,0,443,404,19.17,49.17
1341400,69,1,442,404,19.17,49.15
1341500,70,0,441,404,19.16,49.18
1341600,69,0,441,404,19.18,49.21
1341700,67,0,441,404,19.18,49.24
1341800,69,1,440,403,19.17,49.23
1341900,68,0,440,404,19.18,49.29
1342000,69,1,440,404,19.16,49.26
1342100,68,2,439,404,19.16,49.27
1342200,68,2,441,404,19.18,49.29
1342300,68,0,440,404,19.17,49.32
1342400,70,2,438,403,19.15,49.34
1342500,68,0,437,404,19.16,49.35
1342600,70,0,439,404,19.17,49.34
1342700,69,0,440,404,19.17,49.36
