timestamp,smoke,flame,co,voc,temp,humid
1283800,70,1,450,410,19.09,49.86
1283900,70,0,448,410,19.09,49.85
1284000,70,0,448,411,19.09,49.88
1284100,68,1,448,411,19.09,49.87
1284200,70,1,447,411,19.08,49.82
1284300,71,0,446,411,19.08,49.84
1284400,70,0,447,411,19.08,49.85
1284500,71,0,445,411,19.06,49.85
1284600,70,2,446,411,19.07,49.84
1284700,71,0,446,410,19.07,49.84
1284800,71,2,445,408,19.08,49.84
1284900,70,0,446,411,19.08,49.86
1285000,70,1,446,410,19.08,49.89
1285100,71,1,446,411,19.06,49.91
1285200,70,1,445,411,19.07,49.86
1285300,70,0,445,410,19.07,49.88
1285400,69,2,445,410,19.08,49.90
1285500,70,1,444,411,19.09,49.90
1285600,70,1,444,410,19.08,49.89
1285700,70,0,443,411,19.08,49.88
1285800,70,0,442,410,19.07,49.89
1285900,70,1,442,410,19.07,49.90
1286000,71,0,442,410,19.08,49.89
1286100,68,0,441,410,19.08,49.85
1286200,68,0,441,410,19.07,49.84
1286300,69,0,441,411,19.09,49.87
1286400,69,0,441,410,19.08,49.83
1286500,69,0,441,411,19.08,49.83
1286600,71,0,441,410,19.08,49.80
1286700,71,0,439,410,19.08,49.79
1286800,69,1,437,410,19.08,49.76
1286900,68,2,437,410,19.09,49.76
1287000,68,1,437,410,19.08,49.73
1287100,70,1,437,410,19.08,49.68
1287200,68,1,437,409,19.09,49.68
1287300,71,6,439,409,19.09,49.67
1287400,70,0,437,409,19.10,49.63
1287500,69,1,438,409,19.10,49.60
1287600,71,2,438,409,19.09,49.57
1287700,71,0,440,408,19.09,49.53
1287800,67,0,437,409,19.09,49.52
1287900,70,1,437,409,19.08,49.50
1288000,70,0,437,409,19.08,49.49
1288100,71,0,437,409,19.08,49.47
1288200,71,2,437,410,19.09,49.44
1288300,68,0,435,409,19.08,49.43
1288400,70,1,433,409,19.09,49.36
1288500,71,1,434,409,19.08,49.37
1288600,70,1,434,409,19.08,49.33
1288700,71,0,434,408,19.09,49.31
1288800,71,2,436,408,19.08,49.25
1288900,70,2,435,408,19.09,49.21
1289000,70,1,436,408,19.09,49.20
1289100,69,0,437,408,19.09,49.18
1289200,71,1,437,409,19.08,49.10
1289300,71,1,438,408,19.08,49.07
1289400,70,1,437,408,19.09,49.04
1289500,70,1,438,408,19.10,49.03
1289600,70,0,437,408,19.08,49.02
1289700,70,0,436,408,19.11,48.99
1289800,68,1,438,408,19.09,48.94
1289900,69,1,438,408,19.10,48.92
1290000,70,1,438,411,19.10,48.87
1290100,71,1,438,408,19.09,48.81
1290200,69,4,438,408,19.10,48.77
1290300,69,0,439,408,19.08,48.76
1290400,73,0,440,408,19.10,48.75
1290500,69,2,441,408,19.09,48.74
1290600,69,1,442,408,19.08,48.70
1290700,69,0,442,408,19.10,48.72
1290800,71,3,442,408,19.10,48.69
1290900,70,2,444,408,19.10,48.72
1291000,68,0,442,408,19.10,48.68
1291100,67,0,442,408,19.09,48.65
1291200,70,2,443,408,19.10,48.67
1291300,70,0,444,407,19.11,48.62
1291400,70,1,445,408,19.12,48.64
1291500,69,0,445,408,19.11,48.59
1291600,71,2,446,408,19.11,48.58
1291700,70,0,446,408,19.11,48.56
1291800,70,0,447,408,19.11,48.56
1291900,70,0,446,408,19.12,48.54
1292000,70,1,446,408,19.10,48.51
1292100,70,1,445,408,19.11,48.52
1292200,69,1,444,408,19.11,48.50
1292300,68,1,446,407,19.10,48.46
1292400,71,1,446,408,19.10,48.43
1292500,69,2,445,408,19.11,48.45
1292600,71,0,446,408,19.09,48.43
1292700,69,1,446,408,19.11,48.43
1292800,69,1,446,408,19.12,48.41
1292900,68,0,448,408,19.10,48.40
1293000,70,1,449,407,19.11,48.40
1293100,69,1,449,407,19.09,48.37
1293200,70,1,448,408,19.10,48.36
1293300,70,2,446,407,19.12,48.38
1293400,69,0,447,407,19.09,48.34
1293500,71,1,445,408,19.11,48.37
1293600,70,2,445,408,19.11,48.33
1293700,70,0,445,408,19.11,48.34
1293800,70,1,445,408,19.12,48.35
